Word	Annotation	Sense	Part of Speech	Level	Russian
legislation			n.	C1	законодательство
participation			n.	B2	участие
yield			n., v.	C1	урожайность
liberal			adj., n.	C1	либеральный
democracy			n.	B2	демократия
consumption			n.	B2	потребление
maintenance			n.	C1	техническое обслуживание
fluid			n.	C1	жидкость
colonial			adj.	C1	колониальный
remarkable			adj.	B2	замечательный
virtue			n.	C1	добродетель
probability			n.	B2	вероятность
suffering			n.	B2	страдание
extension			n.	B2	расширение
mechanical			adj.	B2	механический
substantial			adj.	C1	существенный
theoretical			adj.	C1	теоретический
mechanism			n.	B2	механизм
wisdom			n.	B2	мудрость
exception			n.	B2	исключение
visible			adj.	B2	видимый
readily			adv.	C1	с готовностью
spite			n.	B2	злоба
concrete			adj., n.	B2	бетон
essentially			adv.	B2	по существу
variation			n.	B2	вариация
structural			adj.	C1	структурный
province			n.	C1	провинция
revenue			n.	B2	доход
personnel			n.	C1	персонал
communist			adj.	C1	коммунист
frequent			adj.	B2	частый
vice			n.	C1	порок
thereby			adv.	C1	тем самым
carbon			n.	B2	углерод
oxygen			n.	B2	кислород
aside			adv.	B2	в сторону
destruction			n.	B2	разрушение
beneath			prep.	C1	под
constitutional			adj.	C1	конституционный
organic			adj.	B2	органический
sacred			adj.	C1	священный
satisfaction			n.	B2	удовлетворение
enterprise			n.	C1	предприятие
depression			n.	B2	депрессия
framework			n.	B2	рамки
logic			n.	C1	логика
manufacturing			n.	B2	производство
intensity			n.	C1	интенсивность
chamber			n.	C1	палата
assumption			n.	B2	предположение
acute			adj.	C1	острый
conception			n.	C1	концепция
interior			adj., n.	C1	интерьер
vertical			adj.	B2	вертикальный
excess			n., adj.	C1	избыток
exposure			n.	B2	воздействие
diagnosis			n.	C1	диагноз
era			n.	B2	эпоха
separation			n.	C1	разделение
storage			n.	C1	хранение
namely			adv.	C1	а именно
formula			n.	C1	формула
noble			adj.	C1	благородный
precisely			adv.	B2	именно
vessel			n.	C1	судно
linear			adj.	C1	линейный
functional			adj.	C1	функциональный
scope			n.	C1	объем
accordingly			adv.	C1	соответственно
mutual			adj.	C1	взаимный
worship			n., v.	C1	поклонение
economics			n.	B2	экономика
copper			n.	C1	медь
anxiety			n.	B2	тревога
golden			adj.	B2	золотой
perception			n.	B2	восприятие
sufficiently			adv.	B2	достаточно
identification			n.	C1	идентификация
ray			n.	C1	луч
peculiar			adj.	C1	своеобразный
gender			n.	B2	пол
distant			adj.	B2	далекий
radical			adj.	C1	радикальный
classification			n.	C1	классификация
revolutionary			adj.	C1	революционный
recovery			n.	B2	восстановление
beside			prep.	B2	рядом
partial			adj.	C1	частичный
glory			n.	C1	слава
saint			n.	C1	святой
consent			n., v.	C1	согласие
altogether			adv.	B2	вообще
abstract			adj.	B2	абстрактный
collective			adj.	C1	коллективный
hypothesis			n.	B2	гипотеза
intervention			n.	C1	вмешательство
biological			adj.	B2	биологический
stability			n.	C1	стабильность
oral			adj.	C1	оральный
amendment			n.	C1	поправка
dominant			adj.	B2	доминирующий
jurisdiction			n.	C1	юрисдикция
ultimate			adj.	B2	окончательный
boundary			n.	C1	граница
isolated			adj.	B2	изолированный
magnetic			adj.	C1	магнитный
transportation			n.	B2	транспорт
integration			n.	C1	интеграция
cattle			n.	C1	крупный рогатый скот
fate			n.	C1	судьба
conventional			adj.	B2	обычный
abuse			n., v.	C1	злоупотребление
striking			adj.	B2	поразительный
identical			adj.	B2	идентичный
acceptance			n.	C1	принятие
statistical			adj.	C1	статистический
shore			n.	B2	берег
radiation			n.	B2	радиация
transformation			n.	C1	трансформация
likewise			adv.	B2	аналогично
faculty			n.	C1	факультет
removal			n.	C1	удаление
prominent			adj.	C1	видный
gross			adj.	C1	брутто
steam			n.	B2	пар
dynamic			adj., n.	B2, C1	динамичный
random			adj.	B2	случайный
compensation			n.	C1	компенсация
chronic			adj.	C1	хронический
discourse			n.	C1	дискурс
regime			n.	C1	режим
rational			adj.	C1	рациональный
tension			n.	B2	напряжение
ethnic			adj.	B2	этнический
pride			n.	B2	гордость
grave	(for dead person)		n.	C1	могила
grave	(serious)		adj.	C1	могила
shaped			adj.	B2	сформированный
proceed			v.	B2	продолжить
cutting			n.	C1	резка
occupation			n.	B2	оккупация
execution			n.	C1	исполнение
domain			n.	C1	домен
desirable			adj.	C1	желательно
strain			n.	C1	напряжение
darkness			n.	B2	темнота
sake			n.	C1	ради
differ			v.	B2	отличаться
publishing			n.	B2	публикация
nursing			adj.	B2	уход за больными
slavery			n.	C1	рабство
discharge			v.	C1	разрядка
confusion			n.	B2	путаница
membership			n.	B2	членство
physician			n.	C1	врач
wholly			adv.	C1	полностью
counter	(argue against)		v.	C1	счетчик
counter	(long flat surface)		n.	B2	счетчик
legislative			adj.	C1	законодательный
comprehensive			adj.	B2	всеобъемлющий
implementation			n.	C1	реализация
underlying			adj.	C1	лежащий в основе
commander			n.	B2	командир
considerably			adv.	B2	значительно
sacrifice			n., v.	C1	жертвовать
reflection			n.	C1	отражение
declaration			n.	C1	декларация
hidden			adj.	B2	скрытый
probable			adj.	B2	вероятный
copyright			n.	C1	авторское право
worthy			adj.	C1	достойный
transmission			n.	C1	передача
flesh			n.	C1	плоть
accordance			n.	C1	соответствие
colony			n.	B2	колония
philosophical			adj.	C1	философский
constitute			v.	C1	составляют
socialist			adj.	C1	социалистический
driving			adj.	C1	вождение
peak			n.	C1	пик
strategic			adj.	C1	стратегический
academy			n.	C1	академия
machinery			n.	C1	техника
canal			n.	B2	канал
judicial			adj.	C1	судебный
cognitive			adj.	C1	познавательный
testimony			n.	C1	показания
subsequently			adv.	B2	впоследствии
conversion			n.	C1	преобразование
thoroughly			adv.	B2	тщательно
mill			n.	C1	мельница
varied			adj.	C1	разнообразный
burden			n.	C1	бремя
eternal			adj.	C1	вечный
formerly			adv.	B2	раньше
civilization			n.	B2	цивилизация
involvement			n.	C1	участие
survival			n.	B2	выживание
duration			n.	B2	продолжительность
attorney			n.	C1	адвокат
ownership			n.	B2	собственность
infant			n.	C1	младенец
comparative			adj.	B2	сравнительный
gene			n.	B2	ген
cabinet			n.	C1	кабинет
disorder			n.	B2	беспорядок
liver			n.	C1	печень
moderate			adj.	C1	умеренный
offering			n.	C1	предложение
verse			n.	C1	стих
awareness			n.	B2	осведомленность
circulation			n.	C1	обращение
correspondence			n.	C1	переписка
curious			adj.	B2	любопытный
reign			n., v.	C1	править
residence			n.	C1	резиденция
valid			adj.	B2	действительный
humanity			n.	C1	человечество
trace			v., n.	B2, C1	след
shortly			adv.	B2	вскоре
organizational			adj.	C1	организационный
racial			adj.	B2	расовый
overcome			v.	B2	преодолеть
beam			n.	C1	луч
progressive			adj.	B2	прогрессивный
fever			n.	B2	лихорадка
sphere			n.	C1	сфера
adjustment			n.	C1	корректировка
alliance			n.	C1	альянс
seldom			adv.	C1	редко
correlation			n.	C1	корреляция
accuracy			n.	B2	точность
naval			adj.	C1	военно-морской
genius			n.	B2	гений
expenditure			n.	C1	расходы
genetic			adj.	B2	генетический
marine			adj.	C1	морской
discrimination			n.	C1	дискриминация
hydrogen			n.	C1	водород
purely			adv.	B2	чисто
interval			n.	B2	интервал
behalf			n.	C1	имени
fleet			n.	C1	флот
equality			n.	C1	равенство
wheat			n.	B2	пшеница
syndrome			n.	C1	синдром
integrated			adj.	C1	интегрированный
newly			adv.	B2	недавно
distinguish			v.	B2	различать
legislature			n.	C1	законодательный орган
dose			n.	C1	доза
whilst			conj.	C1	пока
theology			n.	C1	богословие
versus			prep.	C1	против
applicable			adj.	C1	применимо
essence			n.	C1	сущность
compound			n.	B2	соединение
mining			n.	C1	добыча полезных ископаемых
orientation			n.	C1	ориентация
conviction			n.	C1	убеждение
jury			n.	B2	жюри
empirical			adj.	C1	эмпирический
ease			n., v.	C1	легкость
utility			n.	C1	полезность
monthly			adj.	B2	ежемесячно
exhibit			v., n.	B2	выставка
blow			n.	B2	удар
conscience			n.	C1	совесть
guidance			n.	C1	руководство
reasoning			n.	C1	рассуждение
database			n.	B2	база данных
trading			n.	B2	торговля
spectrum			n.	C1	спектр
institutional			adj.	C1	институциональный
simultaneously			adv.	C1	одновременно
productivity			n.	C1	производительность
excessive			adj.	B2	чрезмерный
briefly			adv.	B2	кратко
magnitude			n.	C1	величина
elementary			adj.	B2	элементарный
handling			n.	C1	обработка
precise			adj.	B2	точный
synthesis			n.	C1	синтез
dependence			n.	C1	зависимость
dispute			n., v.	C1	спор
somehow			adv.	B2	как-то
genuine			adj.	B2	настоящий
rear			adj., n.	C1	задний
freely			adv.	B2	свободно
preliminary			adj.	C1	предварительный
apparatus			n.	C1	аппарат
width			n.	C1	ширина
diversity			n.	B2	разнообразие
reverse			v., n., adj.	C1	реверс
accused			n.	C1	обвиняемый
intermediate			adj.	C1	промежуточный
effectiveness			n.	C1	эффективность
undoubtedly			adv.	C1	несомненно
strictly			adv.	B2	строго
succession			n.	C1	преемственность
scattered			adj.	C1	разбросанный
situated			adj.	C1	расположен
absent			adj.	C1	отсутствует
mathematical			adj.	C1	математический
neutral			adj.	B2	нейтральный
ID			n.	B2	идентификатор
liable			adj.	C1	ответственный
productive			adj.	C1	продуктивный
acquisition			n.	C1	приобретение
earnings			n.	C1	заработок
respective			adj.	C1	соответствующий
dignity			n.	C1	достоинство
curriculum			n.	B2	учебная программа
occurrence			n.	C1	возникновение
high-profile			adj.	C1	громкий
AIDS			n.	B2	СПИД
sole			adj.	C1	подошва
systematic			adj.	C1	систематический
municipal			adj.	C1	муниципальный
render			v.	C1	оказывать
ward			n.	C1	палата
interface			n.	C1	интерфейс
pregnancy			n.	C1	беременность
instant			adj.	B2	мгновенный
voluntary			adj.	B2	добровольный
affection			n.	C1	привязанность
terminal			n., adj.	B2, C1	терминал
alike			adv., adj.	C1	одинаково
harmony			n.	C1	гармония
proposition			n.	C1	предложение
transaction			n.	C1	транзакция
regardless			adv.	C1	несмотря ни на что
sword			n.	C1	меч
thesis			n.	B2	диссертация
gay			adj.	B2	гей
migration			n.	C1	миграция
provincial			adj.	C1	провинциальный
conservation			n.	B2	сохранение
firmly			adv.	B2	твердо
verbal			adj.	C1	словесный
profound			adj.	C1	глубокий
validity			n.	C1	действительность
format			n.	B2	формат
inevitable			adj.	B2	неизбежный
exclusive			adj.	C1	эксклюзивный
invasion			n.	B2	вторжение
partnership			n.	B2	партнерство
patent			n.	C1	патент
preference			n.	B2	предпочтение
log			n., v.	C1	журнал
exclusively			adv.	C1	исключительно
technological			adj.	B2	технологический
inclined			adj.	C1	наклоненный
crystal			n.	C1	кристалл
parish			n.	C1	приход
dimension			n.	C1	измерение
tender			adj.	C1	тендер
privilege			n.	C1	привилегия
charter			n.	C1	устав
promotion			n.	B2	продвижение по службе
weekly			adj.	B2	еженедельно
manufacture			v.	B2	производство
prevention			n.	C1	профилактика
manuscript			n.	C1	рукопись
margin			n.	B2	маржа
morality			n.	C1	мораль
occasional			adj.	C1	случайный
controversy			n.	B2	полемика
bulk			n.	C1	объемный
admission			n.	C1	прием
mercy			n.	C1	милосердие
commissioner			n.	C1	комиссар
fame			n.	B2	слава
medieval			adj.	C1	средневековый
complexity			n.	C1	сложность
ignorance			n.	C1	невежество
tobacco			n.	C1	табак
adoption			n.	C1	усыновление
fraction			n.	B2	дробь
pulse			n.	C1	пульс
widespread			adj.	B2	широко распространенный
merchant			n.	C1	купец
operator			n.	B2	оператор
marginal			adj.	C1	маргинальный
inspection			n.	C1	инспекция
ritual			n.	C1	ритуал
adjacent			adj.	C1	соседний
bare			adj.	C1	голый
partially			adv.	C1	частично
reporting			n.	B2	отчетность
devil			n.	C1	дьявол
sensitivity			n.	C1	чувствительность
clerk			n.	B2	клерк
gravity			n.	C1	гравитация
segment			n.	C1	сегмент
courtesy			n.	C1	вежливость
headquarters			n.	B2	штаб-квартира
filter			n., v.	C1	фильтр
intent			n.	C1	намерение
coverage			n.	B2	покрытие
midst			n.	C1	посреди
interference			n.	C1	вмешательство
stem			n., v.	C1	стебель
opera			n.	B2	опера
merit			n.	C1	заслуга
trail			n., v.	C1	тропа
inflation			n.	B2	инфляция
array			n.	C1	массив
uncertainty			n.	B2	неопределенность
realm			n.	C1	царство
revelation			n.	C1	откровение
symbolic			adj.	C1	символический
proceeds			n.	C1	доходы
optical			adj.	C1	оптический
immense			adj.	C1	огромный
presumably			adv.	C1	предположительно
loop			n.	C1	петля
passive			adj.	C1	пассивный
ideology			n.	C1	идеология
isolation			n.	C1	изоляция
divorce			n., v.	B2	развод
delicate			adj.	C1	нежный
parameter			n.	C1	параметр
indication			n.	B2	указание
precious			adj.	B2	драгоценный
stimulus			n.	C1	стимул
calculation			n.	C1	расчет
retirement			n.	B2	выход на пенсию
legitimate			adj.	C1	законный
inherent			adj.	C1	присущий
petition			n.	C1	петиция
outstanding			adj.	B2	выдающийся
automatic			adj.	B2	автоматический
mayor			n.	B2	мэр
prosperity			n.	C1	процветание
explicit			adj.	C1	явный
remainder			n.	C1	остаток
comparable			adj.	C1	сопоставимый
inadequate			adj.	C1	неадекватный
solely			adv.	C1	исключительно
terror			n.	B2	террор
hostile			adj.	C1	враждебный
integrity			n.	C1	целостность
pronounced			adj.	C1	выраженный
pole			n.	C1	столб
tribe			n.	B2	племя
enforcement			n.	C1	исполнение
intimate			adj.	C1	интимный
guilt			n.	C1	вина
continually			adv.	C1	постоянно
venture			n., v.	C1	предприятие
incidence			n.	C1	заболеваемость
diverse			adj.	B2	разнообразный
companion			n.	C1	компаньон
fatal			adj.	C1	смертельный
ruling			n.	C1	постановление
gathering			n.	C1	сбор
elaborate			adj.	C1	разрабатывать
programming			n.	B2	программирование
specimen			n.	C1	образец
restoration			n.	C1	восстановление
reasonably			adv.	B2	разумно
compromise			n., v.	C1	компромисс
glance			n., v.	C1	взгляд
attachment			n.	B2	привязанность
dedicated			adj.	C1	посвященный
pursuit			n.	B2	преследование
deposit			n., v.	B2, C1	депозит
detection			n.	C1	обнаружение
highway			n.	B2	шоссе
surplus			n.	C1	излишек
usage			n.	B2	использование
successive			adj.	C1	последовательный
remedy			n.	C1	средство
myth			n.	B2	миф
substitute			n., v.	C1	заменить
senator			n.	C1	сенатор
stroke			n.	B2	инсульт
literally			adv.	B2	буквально
supervision			n.	C1	надзор
automatically			adv.	B2	автоматически
completion			n.	B2	завершение
lesser			adj.	C1	меньший
surgical			adj.	C1	хирургический
timber			n.	C1	древесина
tragedy			n.	B2	трагедия
cooperative			adj.	C1	кооператив
configuration			n.	C1	конфигурация
exceed			v.	B2	превышать
bow		1	v., n.	C1	лук
nearby			adj., adv.	B2	поблизости
observer			n.	B2	наблюдатель
arbitrary			adj.	C1	произвольный
objection			n.	C1	возражение
entity			n.	C1	сущность
roughly			adv.	B2	примерно
peasant			n.	C1	крестьянин
seal			v., n.	C1	печать
reconstruction			n.	C1	реконструкция
distress			n., v.	C1	бедствие
triumph			n.	C1	триумф
foster			v.	C1	воспитывать
appreciation			n.	C1	признательность
parliamentary			adj.	C1	парламентский
loyalty			n.	C1	лояльность
presently			adv.	C1	в настоящее время
rotation			n.	C1	вращение
default			n.	C1	по умолчанию
retreat			n., v.	C1	отступление
burst			v.	C1	взрыв
substantially			adv.	C1	существенно
neglect			v., n.	C1	пренебрежение
motivation			n.	B2	мотивация
lane			n.	B2	переулок
motive			n.	C1	мотив
deck			n.	B2	колода
availability			n.	C1	доступность
mature			adj., v.	C1	зрелый
preservation			n.	C1	сохранение
liberation			n.	C1	освобождение
surrender			v.	C1	сдаться
deficiency			n.	C1	недостаток
lens			n.	B2	линза
rebellion			n.	C1	бунт
manifest			v.	C1	манифестировать
deputy			n.	C1	депутат
historian			n.	B2	историк
certificate			n.	B2	сертификат
bias			n.	B2	предвзятость
sentiment			n.	C1	настроение
protocol			n.	C1	протокол
specialized			adj.	C1	специализированный
suicide			n.	C1	самоубийство
voting			n.	B2	голосование
capitalism			n.	C1	капитализм
registration			n.	B2	регистрация
demonstration			n.	B2	демонстрация
immigration			n.	B2	иммиграция
capitalist			adj.	C1	капиталистический
justification			n.	C1	оправдание
perceive			v.	B2	воспринимать
bold			adj.	B2	смелый
eager			adj.	C1	нетерпеливый
dawn			n.	C1	рассвет
presidential			adj.	C1	президентский
combat			n., v.	C1	бой
inspiration			n.	C1	вдохновение
landing			n.	B2	приземление
angel			n.	C1	ангел
accurately			adv.	B2	точно
thereafter			adv.	C1	после этого
rod			n.	C1	стержень
modification			n.	C1	модификация
balanced			adj.	B2	сбалансированный
sensation			n.	C1	ощущение
rat			n.	B2	крыса
attribute			v., n.	C1	атрибут
grief			n.	C1	горе
integral			adj.	C1	интеграл
inevitably			adv.	B2	неизбежно
suspicion			n.	C1	подозрение
competent			adj.	C1	компетентный
pump			v., n.	C1	насос
disposal			n.	C1	избавление
reproduction			n.	C1	воспроизводство
innovation			n.	B2	инновации
distinctive			adj.	C1	отличительный
carriage			n.	C1	карета
extract			n., v.	B2, C1	извлекать
aesthetic			adj.	C1	эстетический
replacement			n.	C1	замена
subtle			adj.	C1	тонкий
unfortunate			adj.	B2	неудачный
eliminate			v.	B2	устранить
sketch			n.	C1	эскиз
secular			adj.	C1	светский
violation			n.	C1	нарушение
hierarchy			n.	C1	иерархия
potentially			adv.	B2	потенциально
restore			v.	B2	восстановить
threshold			n.	C1	порог
sovereignty			n.	C1	суверенитет
autonomy			n.	C1	автономия
skilled			adj.	B2	опытный
corruption			n.	C1	коррупция
injection			n.	C1	инъекция
ideological			adj.	C1	идеологический
horizon			n.	C1	горизонт
naked			adj.	B2	голый
prejudice			n.	C1	предубеждение
whereby			adv.	C1	посредством чего
brick			n.	B2	кирпич
tide			n.	C1	прилив
certainty			n.	B2	уверенность
ambassador			n.	C1	посол
accomplish			v.	B2	выполнить
accumulation			n.	C1	накопление
explicitly			adv.	C1	явно
craft			n., v.	B2, C1	ремесло
tremendous			adj.	C1	огромный
barely			adv.	B2	едва
modest			adj.	B2	скромный
coastal			adj.	C1	прибрежный
penalty			n.	B2	штраф
directory			n.	C1	каталог
ego			n.	C1	эго
palm			n.	B2	пальма
patience			n.	B2	терпение
rejection			n.	C1	отказ
facilitate			v.	C1	облегчить
intensive			adj.	C1	интенсивный
shipping			n.	C1	доставка
adaptation			n.	C1	адаптация
gaze			n., v.	C1	взгляд
sympathetic			adj.	B2	сочувствующий
mobility			n.	C1	мобильность
limitation			n.	B2	ограничение
dare			v.	B2	осмелиться
magnificent			adj.	B2	великолепный
heritage			n.	C1	наследие
grasp			v., n.	C1	схватить
warfare			n.	C1	война
lifetime			n.	B2	продолжительность жизни
glorious			adj.	C1	славный
utterly			adv.	C1	совершенно
elite			n.	C1	элита
thorough			adj.	B2	тщательный
occupy			v.	B2	занимать
cease			v.	C1	прекратить
beloved			adj.	C1	любимый
memorial			n.	C1	мемориал
license			v.	C1	лицензия
compliance			n.	C1	соответствие
adverse			adj.	C1	неблагоприятный
useless			adj.	B2	бесполезный
indigenous			adj.	C1	коренной
assurance			n.	C1	гарантия
diplomatic			adj.	C1	дипломатический
philosopher			n.	C1	философ
dull			adj.	B2	скучный
vein			n.	C1	вена
severely			adv.	B2	строго
strip	(long narrow piece)		n.	C1	полоса
strip	(remove clothes/a layer)		v.	C1	полоса
rival			n., adj.	B2	соперник
withdrawal			n.	C1	вывод средств
abundance			n.	C1	изобилие
pity			n.	B2	жалость
asset			n.	B2	актив
deed			n.	C1	дело
widow			n.	C1	вдова
protective			adj.	C1	защитный
correction			n.	C1	исправление
humble			adj.	C1	скромный
defect			n.	C1	дефект
monopoly			n.	C1	монополия
steadily			adv.	B2	стабильно
goodness			n.	B2	доброта
beneficial			adj.	B2	выгодный
influential			adj.	C1	влиятельный
funeral			n.	C1	похороны
mortgage			n.	B2	ипотека
feminist			adj., n.	C1	феминистка
descent			n.	C1	спуск
regulatory			adj.	C1	нормативный
editorial			adj.	B2	редакционная статья
laser			n.	C1	лазер
vague			adj.	C1	расплывчатый
scholar			n.	B2	ученый
breach			n., v.	C1	нарушение
operational			adj.	C1	оперативный
invisible			adj.	C1	невидимый
annually			adv.	B2	ежегодно
consistently			adv.	B2	последовательно
crude			adj.	C1	сырой
decisive			adj.	C1	решающий
meaningful			adj.	C1	значимый
specify			v.	B2	указать
warrant			n., v.	C1	ордер
legend			n.	B2	легенда
commodity			n.	C1	товар
commentary			n.	C1	комментарий
emergence			n.	C1	появление
assault			n., v.	C1	нападение
propaganda			n.	C1	пропаганда
sophisticated			adj.	B2	сложный
curiosity			n.	C1	любопытство
precision			n.	C1	точность
notable			adj.	C1	заметный
simulation			n.	C1	моделирование
nutrition			n.	B2	питание
attendance			n.	C1	посещаемость
fool			n.	B2	дурак
minimal			adj.	C1	минимальный
engagement			n.	C1	помолвка
cave			n.	B2	пещера
thread			n.	C1	нить
assertion			n.	C1	утверждение
romance			n.	B2	романтика
ruin			v., n.	B2	разорение
discretion			n.	C1	усмотрение
shoot			n.	C1	стрелять
realization			n.	C1	реализация
interfere			v.	C1	вмешиваться
correspond			v.	C1	переписываться
consensus			n.	C1	консенсус
exclusion			n.	C1	исключение
hatred			n.	C1	ненависть
flexibility			n.	C1	гибкость
rail			n.	B2	рельс
wit			n.	C1	остроумие
allocation			n.	C1	распределение
alien			n., adj.	B2, C1	пришелец
inability			n.	C1	неспособность
globe			n.	B2	глобус
horn			n.	C1	рог
refusal			n.	C1	отказ
retail			n.	B2	розничная торговля
selective			adj.	C1	избирательный
harvest			n., v.	C1	урожай
implement			v.	B2	реализовать
rhetoric			n.	C1	риторика
blessing			n.	C1	благословение
encouragement			n.	C1	поощрение
fabric			n.	B2	ткань
accessible			adj.	C1	доступный
tolerance			n.	C1	терпимость
cluster			n.	C1	кластер
contempt			n.	C1	презрение
critique			n.	C1	критика
assure			v.	B2	заверить
successor			n.	C1	преемник
reliability			n.	C1	надежность
relieved			adj.	B2	с облегчением
aggression			n.	C1	агрессия
dense			adj.	C1	плотный
shed			v.	C1	сарай
openly			adv.	B2	открыто
induce			v.	C1	вызывать
overseas			adv., adj.	B2	за границей
spare			adj., v.	B2, C1	запасной
congregation			n.	C1	собрание
vacuum			n.	C1	вакуум
analogy			n.	C1	аналогия
hardware			n.	C1	аппаратное обеспечение
nonetheless			adv.	C1	тем не менее
attain			v.	C1	достичь
undertake			v.	B2	предпринимать
persistent			adj.	C1	настойчивый
immune			adj.	B2	иммунитет
scholarship			n.	B2	стипендия
encouraging			adj.	C1	обнадеживающий
convey			v.	B2	передать
caution			n.	C1	осторожность
biography			n.	C1	биография
outlook			n.	C1	мировоззрение
supplement			n., v.	C1	дополнение
lighting			n.	B2	освещение
arrow			n.	B2	стрелка
bench			n.	C1	скамейка
lately			adv.	B2	в последнее время
surgeon			n.	B2	хирург
receiver			n.	B2	получатель
hunger			n.	B2	голод
endless			adj.	C1	бесконечный
junction			n.	C1	перекресток
dual			adj.	C1	двойной
notably			adv.	C1	особенно
therapist			n.	B2	терапевт
instantly			adv.	B2	мгновенно
destructive			adj.	C1	разрушительный
derive			v.	B2	вывести
insufficient			adj.	C1	недостаточный
rating			n.	B2	рейтинг
architectural			adj.	C1	архитектурный
activation			n.	C1	активация
favourable			adj.	C1	благоприятный
disability			n.	B2	инвалидность
tribal			adj.	C1	племенной
projection			n.	C1	проекция
cabin			n.	B2	каюта
advocate			n., v.	C1	защитник
coordination			n.	C1	координация
allowance			n.	C1	пособие
acre			n.	C1	акр
span			v., n.	C1	пролет
revision			n.	B2	пересмотр
navigation			n.	B2	навигация
exploitation			n.	C1	эксплуатация
ton			n.	B2	тонна
